,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1565,23.13,-0.017880446999333797,0.6852174398226616,31.485260960994623,31.467380709525866,20.33745841124119,8.765706062316895,1.00200418142172,20000,852,0,12.776248455047607
1,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1533,34.56,0.00022427162680870448,0.6889362180844332,35.43383491711739,35.43405922498459,32.56779263447493,7.857152938842773,1.010800218429321,40000,1424,1,26.090036630630493
2,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1557,24.93,-0.027788177436181845,0.6782648772765428,22.590136394745265,22.562348215396586,15.012285014299247,2.8456122875213623,1.0109838851751425,60000,2172,2,38.51986789703369
3,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1582,41.25,0.0018527944781220494,0.6791822096476188,33.71187371718578,33.71372655966343,19.031874047792876,3.839512825012207,1.0292602902039503,80000,2675,3,50.55484342575073
4,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1597,40.52,-0.009431519045327337,0.6602001652503625,35.54770629589374,35.538274787022516,14.727133576075236,0.9971399307250977,1.039894196543938,100000,3219,4,62.61674237251282
5,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1606,54.35,0.02367650266074074,0.6695604929557213,39.52366203894982,39.547338735140286,22.769415453764108,4.126532077789307,1.0565280377864839,120000,3555,5,74.7100305557251
6,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1610,37.95,-0.008074697196626892,0.6537148685027392,39.8107347317231,39.80265998840332,17.666368872080096,-0.9702491164207458,1.0489734274454605,140000,4050,6,86.9473991394043
7,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1611,67.83,0.02347682237696762,0.6568998597371273,37.29730361791758,37.32078029436943,21.361297680781437,2.9614436626434326,1.0685349395641914,160000,4365,7,99.28485822677612
8,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1605,65.64,0.016347494821708938,0.6464260332859479,39.572930509616164,39.58927781520746,21.814034006534477,1.05658757686615,1.0787747373947731,180000,4696,8,112.09653043746948
9,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1615,66.97,0.028802054909428058,0.6416749814381966,38.732185221941045,38.760987098400406,22.683369690943987,2.1666035652160645,1.0980747148776666,200000,4977,9,123.76846957206726
10,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/CartPole-v0/ppo,1623,68.5,0.028684355043925535,0.6479403149623137,42.74008247668927,42.76876710011409,26.856512314234024,1.3056141138076782,1.0773891298434672,220000,5249,10,135.4807322025299
